USER_NAME,AGE,HEIGHT,GENDER,SALE_AMOUNT,LAST_PURCHASE_DATE
Kenny King,52,178,M,37510,2020-05-29T21:15:30Z
David Ginger,80,184,F,22649,2020-01-25T18:15:30+08:00
 Wong,72,181,F,20033,2014-02-15T11:14:30Z
Ben ,67,184,,1363,2020-10-01T10:15:30Z
Ben Wong,72,161,F,12192,2014-02-15T11:14:30Z
Barry Ginger,20,184,,35832,2020-05-29T21:15:30Z
May Wong,29,165,,51647,2014-02-15T11:14:30+01:00
Ben Chan,73,170,M,66223,2019-01-15T13:15:30Z
Kenny ,34,152,F,90017,2020-09-01T13:15:30Z
David Fisher,48,167,,41042,2014-02-15T11:14:30+01:00
