USER_NAME,AGE,HEIGHT,GENDER,SALE_AMOUNT,LAST_PURCHASE_DATE
 King,41,183,M,63342,2019-11-05T13:15:30Z
Steven Ginger,45,159,,20144,2019-08-23T01:01:30Z
May Wong,42,147,F,59477,2017-06-08T12:15:30Z
Ben Tam,23,150,F,70128,2015-07-15T15:15:30Z
Kenny Ling,54,159,,65825,2020-09-01T13:15:30Z
John Ling,25,190,M,73532,2020-05-29T21:15:30+08:00
John Wong,74,172,,26205,2014-02-15T11:14:30+01:00
May Chan,73,152,F,68399,2020-09-01T13:15:30Z
David Fisher,76,181,,68151,2015-07-15T15:15:30Z
Vanessa Tam,33,186,M,22445,2015-07-15T15:15:30Z
 Wong,52,168,F,64871,2020-09-01T13:15:30Z
 King,80,182,F,54035,2020-01-25T18:15:30Z
 ,57,188,M,55026,2019-11-05T13:15:30Z
Ben Bohi,48,187,M,80430,2020-05-29T21:15:30+08:00
Tommy Bohi,37,166,M,78203,2014-02-15T11:14:30+01:00
John Law,31,157,,3067,2014-02-15T11:14:30Z
Steven Parker,12,190,M,83389,2020-05-29T21:15:30+08:00
Steven Ling,14,158,,78415,2015-07-15T15:15:30+05:00
David Parker,80,183,M,35015,2020-01-25T18:15:30+08:00
Tommy Fisher,25,145,,54069,2020-10-01T10:15:30Z
Barry Bohi,21,142,M,18067,2017-06-08T12:15:30+08:00
Tom Bohi,48,146,F,16559,2017-06-08T12:15:30+08:00
John Bohi,32,183,F,60190,2014-02-15T11:14:30Z
Tommy Ling,73,166,,67804,2014-02-15T11:14:30+01:00
 Law,15,149,M,81502,2020-01-25T18:15:30Z
Barry Tam,30,188,M,20978,2017-06-08T12:15:30+08:00
Kenny Fisher,51,159,F,23383,2015-07-15T15:15:30Z
 Ginger,46,179,F,22572,2019-11-05T13:15:30Z
Tom Wong,69,148,F,6993,2015-07-15T15:15:30Z
Ben Ling,65,169,M,66628,2014-02-15T11:14:30Z
Ben Parker,42,187,,53576,2019-08-23T01:01:30Z
Barry Chan,20,155,M,5687,2020-09-01T13:15:30Z
David Wong,35,164,F,25100,2017-06-08T12:15:30Z
May Chan,39,171,M,59752,2020-05-29T21:15:30+08:00
David Fisher,69,141,,57067,2015-07-15T15:15:30Z
Tom ,62,163,F,8693,2019-01-15T13:15:30Z
Vanessa Fisher,59,157,F,3938,2020-05-29T21:15:30+08:00
Tom ,57,175,M,30209,2020-05-29T21:15:30+08:00
Kenny Chan,60,189,F,92710,2019-11-05T13:15:30Z
May ,49,186,,91494,2017-06-08T12:15:30Z
Steven Bohi,78,190,,74999,2020-01-25T18:15:30Z
Tom Bohi,52,151,,25545,2017-06-08T12:15:30Z
David Fisher,51,154,,58926,2020-10-01T10:15:30Z
Tommy Chan,71,169,M,95331,2015-07-15T15:15:30Z
Tom Parker,30,170,F,34742,2014-02-15T11:14:30Z
John Ginger,49,162,F,47634,2020-10-01T10:15:30Z
Ben Fisher,13,162,M,33321,2019-01-15T13:15:30Z
 ,50,189,F,56529,2020-09-01T13:15:30Z
Vanessa King,32,140,M,72726,2015-07-15T15:15:30Z
David Chan,33,175,,47491,2019-11-05T13:15:30Z
Barry Law,11,173,M,89034,2017-06-08T12:15:30+08:00
David Ginger,38,189,M,81927,2020-09-01T13:15:30Z
David Parker,44,163,,78280,2020-01-25T18:15:30Z
Vanessa Wong,63,164,F,59512,2019-11-05T13:15:30Z
John Ginger,27,188,,18781,2020-01-25T18:15:30+08:00
Tom Bohi,61,140,F,46897,2020-10-01T10:15:30Z
Tom Chan,76,144,M,67085,2015-07-15T15:15:30Z
Kenny Law,33,188,F,86641,2019-11-05T13:15:30Z
Kenny Bohi,35,189,,83351,2015-07-15T15:15:30+05:00
Barry King,26,146,M,5191,2014-02-15T11:14:30+01:00
Steven Wong,44,175,,88626,2020-05-29T21:15:30Z
Kenny Fisher,12,165,F,91261,2020-05-29T21:15:30+08:00
Ben Law,43,176,,516,2020-09-01T13:15:30Z
Tom Ling,58,151,M,76249,2020-09-01T13:15:30Z
John Ling,41,174,F,40330,2017-06-08T12:15:30Z
Steven Law,45,168,M,12426,2017-06-08T12:15:30Z
Ben Fisher,27,185,F,13079,2014-02-15T11:14:30Z
David Chan,70,182,M,19718,2017-06-08T12:15:30+08:00
Tom Ling,73,144,M,28738,2015-07-15T15:15:30Z
Tom Wong,14,182,F,83811,2020-09-01T13:15:30Z
Tom Fisher,72,180,M,96322,2020-01-25T18:15:30+08:00
Barry Law,20,143,F,99653,2019-11-05T13:15:30Z
